Transaction_ID,Customer_ID,Customer_Name,Transaction_Date,Transaction_Time,City,Home_City,Transaction_Type,Merchant_Category,Amount,Payment_Method,Device_Type,Previous_Fraud_History,Fraud_Flag
TXN0000001,CUST002619,Sneha Mukherjee,2025-07-18,1900-01-01 03:45:17,Mumbai,Mumbai,UPI,Fashion & Apparel,1206.01,Credit Card,Tablet,No,Normal
TXN0000002,CUST002596,Deepak Mishra,2025-07-18,1900-01-01 05:54:56,Delhi,Delhi,IMPS,Grocery,77830.92,UPI ID,POS Terminal,No,Fraud
TXN0000003,CUST002917,Anjali Singh,2025-07-18,1900-01-01 06:06:24,Mumbai,Mumbai,IMPS,Grocery,78659.18,Wallet,Mobile,No,Normal
TXN0000004,CUST002572,Vikram Desai,2025-07-18,1900-01-01 07:07:43,Kolkata,Kolkata,Online,Travel,1631.15,UPI ID,Mobile,No,Normal
TXN0000005,CUST000039,Diya Kumar,2025-07-18,1900-01-01 07:56:08,Pune,Pune,Online,Travel,1168.62,UPI ID,POS Terminal,No,Normal
TXN0000006,CUST000997,Aryan Pillai,2025-07-18,1900-01-01 08:19:50,Hyderabad,Hyderabad,UPI,Electronics,166.16,Debit Card,Mobile,No,Normal
TXN0000007,CUST002946,Deepak Chopra,2025-07-18,1900-01-01 09:08:31,Bangalore,Bangalore,POS,Electronics,158.75,Debit Card,Mobile,No,Normal
TXN0000008,CUST002710,Sneha Pillai,2025-07-18,1900-01-01 09:18:40,Pune,Pune,IMPS,Travel,1053.49,UPI ID,Mobile,No,Normal
TXN0000009,CUST002215,Manoj Mishra,2025-07-18,1900-01-01 09:18:47,Bangalore,Bangalore,UPI,Grocery,423.08,UPI ID,POS Terminal,No,Normal
TXN0000010,CUST000955,Vivaan Tiwari,2025-07-18,1900-01-01 10:08:48,Kolkata,Kolkata,UPI,Utilities,2689.67,Debit Card,POS Terminal,No,Normal
TXN0000011,CUST001892,Arjun Chatterjee,2025-07-18,1900-01-01 10:37:01,Hyderabad,Kolkata,POS,Entertainment,533.46,UPI ID,ATM Machine,No,Normal
TXN0000012,CUST000720,Diya Tiwari,2025-07-18,1900-01-01 11:17:45,Kolkata,Kolkata,NEFT,Travel,15093.52,Wallet,Mobile,No,Normal
TXN0000013,CUST002698,Sneha Sharma,2025-07-18,1900-01-01 11:21:34,Kolkata,Kolkata,Online,Utilities,6639.22,Wallet,Mobile,No,Normal
TXN0000014,CUST002537,Krishna Banerjee,2025-07-18,1900-01-01 12:12:21,Delhi,Delhi,ATM,Fashion & Apparel,7153.11,Debit Card,POS Terminal,No,Normal
TXN0000015,CUST002692,Aadhya Shah,2025-07-18,1900-01-01 13:22:06,Chennai,Chennai,POS,Utilities,4078.89,UPI ID,Mobile,No,Normal
